2025-12-12 13:27:56 [INFO]  Executing: sp_GetCasesAsJson
2025-12-12 13:27:57 [INFO]  -------------------
2025-12-12 13:27:57 [INFO]  Batch 0
2025-12-12 13:27:57 [INFO]  -------------------
2025-12-12 13:28:05 [INFO]  -------------------
2025-12-12 13:28:05 [INFO]  Batch 50
2025-12-12 13:28:05 [INFO]  -------------------
2025-12-12 13:28:13 [INFO]  -------------------
2025-12-12 13:28:13 [INFO]  Batch 100
2025-12-12 13:28:13 [INFO]  -------------------
2025-12-12 13:28:22 [INFO]  -------------------
2025-12-12 13:28:22 [INFO]  Batch 150
2025-12-12 13:28:22 [INFO]  -------------------
2025-12-12 13:28:30 [INFO]  -------------------
2025-12-12 13:28:30 [INFO]  Batch 200
2025-12-12 13:28:30 [INFO]  -------------------
2025-12-12 13:28:38 [INFO]  -------------------
2025-12-12 13:28:38 [INFO]  Batch 250
2025-12-12 13:28:38 [INFO]  -------------------
2025-12-12 13:28:46 [INFO]  -------------------
2025-12-12 13:28:46 [INFO]  Batch 300
2025-12-12 13:28:46 [INFO]  -------------------
2025-12-12 13:28:55 [INFO]  -------------------
2025-12-12 13:28:55 [INFO]  Batch 350
2025-12-12 13:28:55 [INFO]  -------------------
2025-12-12 13:29:03 [INFO]  -------------------
2025-12-12 13:29:03 [INFO]  Batch 400
2025-12-12 13:29:03 [INFO]  -------------------
2025-12-12 13:29:11 [INFO]  -------------------
2025-12-12 13:29:11 [INFO]  Batch 450
2025-12-12 13:29:11 [INFO]  -------------------
2025-12-12 13:29:20 [INFO]  -------------------
2025-12-12 13:29:20 [INFO]  Batch 500
2025-12-12 13:29:20 [INFO]  -------------------
2025-12-12 13:29:28 [INFO]  -------------------
2025-12-12 13:29:28 [INFO]  Batch 550
2025-12-12 13:29:28 [INFO]  -------------------
2025-12-12 13:29:36 [INFO]  -------------------
2025-12-12 13:29:36 [INFO]  Batch 600
2025-12-12 13:29:36 [INFO]  -------------------
2025-12-12 13:29:45 [INFO]  -------------------
2025-12-12 13:29:45 [INFO]  Batch 650
2025-12-12 13:29:45 [INFO]  -------------------
2025-12-12 13:29:53 [INFO]  -------------------
2025-12-12 13:29:53 [INFO]  Batch 700
2025-12-12 13:29:53 [INFO]  -------------------
2025-12-12 13:30:02 [INFO]  -------------------
2025-12-12 13:30:02 [INFO]  Batch 750
2025-12-12 13:30:02 [INFO]  -------------------
2025-12-12 13:30:10 [INFO]  -------------------
2025-12-12 13:30:10 [INFO]  Batch 800
2025-12-12 13:30:10 [INFO]  -------------------
2025-12-12 13:30:19 [INFO]  -------------------
2025-12-12 13:30:19 [INFO]  Batch 850
2025-12-12 13:30:19 [INFO]  -------------------
2025-12-12 13:30:27 [INFO]  -------------------
2025-12-12 13:30:27 [INFO]  Batch 900
2025-12-12 13:30:27 [INFO]  -------------------
2025-12-12 13:30:35 [INFO]  -------------------
2025-12-12 13:30:35 [INFO]  Batch 950
2025-12-12 13:30:35 [INFO]  -------------------
2025-12-12 13:30:44 [INFO]  -------------------
2025-12-12 13:30:44 [INFO]  Batch 1000
2025-12-12 13:30:44 [INFO]  -------------------
2025-12-12 13:30:52 [INFO]  -------------------
2025-12-12 13:30:52 [INFO]  Batch 1050
2025-12-12 13:30:52 [INFO]  -------------------
2025-12-12 13:31:00 [INFO]  -------------------
2025-12-12 13:31:00 [INFO]  Batch 1100
2025-12-12 13:31:00 [INFO]  -------------------
2025-12-12 13:31:09 [INFO]  -------------------
2025-12-12 13:31:09 [INFO]  Batch 1150
2025-12-12 13:31:09 [INFO]  -------------------
2025-12-12 13:31:17 [INFO]  -------------------
2025-12-12 13:31:17 [INFO]  Batch 1200
2025-12-12 13:31:17 [INFO]  -------------------
2025-12-12 13:31:26 [INFO]  -------------------
2025-12-12 13:31:26 [INFO]  Batch 1250
2025-12-12 13:31:26 [INFO]  -------------------
2025-12-12 13:31:34 [INFO]  -------------------
2025-12-12 13:31:34 [INFO]  Batch 1300
2025-12-12 13:31:34 [INFO]  -------------------
2025-12-12 13:31:43 [INFO]  -------------------
2025-12-12 13:31:43 [INFO]  Batch 1350
2025-12-12 13:31:43 [INFO]  -------------------
2025-12-12 13:31:51 [INFO]  -------------------
2025-12-12 13:31:51 [INFO]  Batch 1400
2025-12-12 13:31:51 [INFO]  -------------------
2025-12-12 13:32:00 [INFO]  -------------------
2025-12-12 13:32:00 [INFO]  Batch 1450
2025-12-12 13:32:00 [INFO]  -------------------
2025-12-12 13:32:08 [INFO]  -------------------
2025-12-12 13:32:08 [INFO]  Batch 1500
2025-12-12 13:32:08 [INFO]  -------------------
2025-12-12 13:32:17 [INFO]  -------------------
2025-12-12 13:32:17 [INFO]  Batch 1550
2025-12-12 13:32:17 [INFO]  -------------------
2025-12-12 13:32:26 [INFO]  -------------------
2025-12-12 13:32:26 [INFO]  Batch 1600
2025-12-12 13:32:26 [INFO]  -------------------
2025-12-12 13:32:35 [INFO]  -------------------
2025-12-12 13:32:35 [INFO]  Batch 1650
2025-12-12 13:32:35 [INFO]  -------------------
2025-12-12 13:32:44 [INFO]  -------------------
2025-12-12 13:32:44 [INFO]  Batch 1700
2025-12-12 13:32:44 [INFO]  -------------------
2025-12-12 13:32:53 [INFO]  -------------------
2025-12-12 13:32:53 [INFO]  Batch 1750
2025-12-12 13:32:53 [INFO]  -------------------
2025-12-12 13:33:02 [INFO]  -------------------
2025-12-12 13:33:02 [INFO]  Batch 1800
2025-12-12 13:33:02 [INFO]  -------------------
2025-12-12 13:33:27 [INFO]  -------------------
2025-12-12 13:33:27 [INFO]  Batch 1850
2025-12-12 13:33:27 [INFO]  -------------------
2025-12-12 13:33:45 [INFO]  -------------------
2025-12-12 13:33:45 [INFO]  Batch 1900
2025-12-12 13:33:45 [INFO]  -------------------
2025-12-12 13:34:02 [INFO]  -------------------
2025-12-12 13:34:02 [INFO]  Batch 1950
2025-12-12 13:34:02 [INFO]  -------------------
2025-12-12 13:34:14 [INFO]  -------------------
2025-12-12 13:34:14 [INFO]  Batch 2000
2025-12-12 13:34:14 [INFO]  -------------------
2025-12-12 13:34:25 [INFO]  -------------------
2025-12-12 13:34:25 [INFO]  Batch 2050
2025-12-12 13:34:25 [INFO]  -------------------
2025-12-12 13:34:38 [INFO]  -------------------
2025-12-12 13:34:38 [INFO]  Batch 2100
2025-12-12 13:34:38 [INFO]  -------------------
2025-12-12 13:34:46 [INFO]  -------------------
2025-12-12 13:34:46 [INFO]  Batch 2150
2025-12-12 13:34:46 [INFO]  -------------------
2025-12-12 13:34:55 [INFO]  -------------------
2025-12-12 13:34:55 [INFO]  Batch 2200
2025-12-12 13:34:55 [INFO]  -------------------
