2025-12-09 16:04:41 [INFO]  Executing: sp_Evidence_Main_Mapped
2025-12-09 16:04:42 [INFO]  -------------------
2025-12-09 16:04:42 [INFO]  Batch 0
2025-12-09 16:04:42 [INFO]  -------------------
2025-12-09 16:04:50 [INFO]  Executing: sp_Evidence_Log_Mapped
2025-12-09 16:04:50 [INFO]  -------------------
2025-12-09 16:04:50 [INFO]  Batch 0
2025-12-09 16:04:50 [INFO]  -------------------
2025-12-09 16:05:06 [INFO]  -------------------
2025-12-09 16:05:06 [INFO]  Batch 100
2025-12-09 16:05:06 [INFO]  -------------------
2025-12-09 16:05:13 [INFO]  Executing: sp_LostandFounds_Mapped
2025-12-09 16:05:13 [INFO]  -------------------
2025-12-09 16:05:13 [INFO]  Batch 0
2025-12-09 16:05:13 [INFO]  -------------------
