2025-12-05 08:12:07 [INFO]  Executing: sp_GetCasesAsJson
2025-12-05 08:12:09 [INFO]  -------------------
2025-12-05 08:12:09 [INFO]  Cases Logs
2025-12-05 08:12:09 [INFO]  Batch 0
2025-12-05 08:12:09 [INFO]  -------------------
2025-12-05 08:12:22 [INFO]  -------------------
2025-12-05 08:12:22 [INFO]  Cases Logs
2025-12-05 08:12:22 [INFO]  Batch 50
2025-12-05 08:12:22 [INFO]  -------------------
2025-12-05 08:12:35 [INFO]  -------------------
2025-12-05 08:12:35 [INFO]  Cases Logs
2025-12-05 08:12:35 [INFO]  Batch 100
2025-12-05 08:12:35 [INFO]  -------------------
2025-12-05 08:12:47 [INFO]  -------------------
2025-12-05 08:12:47 [INFO]  Cases Logs
2025-12-05 08:12:47 [INFO]  Batch 150
2025-12-05 08:12:47 [INFO]  -------------------
2025-12-05 08:13:05 [INFO]  -------------------
2025-12-05 08:13:05 [INFO]  Cases Logs
2025-12-05 08:13:05 [INFO]  Batch 200
2025-12-05 08:13:05 [INFO]  -------------------
2025-12-05 08:13:17 [INFO]  -------------------
2025-12-05 08:13:17 [INFO]  Cases Logs
2025-12-05 08:13:17 [INFO]  Batch 250
2025-12-05 08:13:17 [INFO]  -------------------
2025-12-05 08:13:49 [INFO]  -------------------
2025-12-05 08:13:49 [INFO]  Cases Logs
2025-12-05 08:13:49 [INFO]  Batch 300
2025-12-05 08:13:49 [INFO]  -------------------
2025-12-05 08:14:04 [INFO]  -------------------
2025-12-05 08:14:04 [INFO]  Cases Logs
2025-12-05 08:14:04 [INFO]  Batch 350
2025-12-05 08:14:04 [INFO]  -------------------
2025-12-05 08:14:15 [INFO]  -------------------
2025-12-05 08:14:15 [INFO]  Cases Logs
2025-12-05 08:14:15 [INFO]  Batch 400
2025-12-05 08:14:15 [INFO]  -------------------
2025-12-05 08:14:30 [INFO]  -------------------
2025-12-05 08:14:30 [INFO]  Cases Logs
2025-12-05 08:14:30 [INFO]  Batch 450
2025-12-05 08:14:30 [INFO]  -------------------
2025-12-05 08:14:46 [INFO]  -------------------
2025-12-05 08:14:46 [INFO]  Cases Logs
2025-12-05 08:14:46 [INFO]  Batch 500
2025-12-05 08:14:46 [INFO]  -------------------
2025-12-05 08:15:00 [INFO]  -------------------
2025-12-05 08:15:00 [INFO]  Cases Logs
2025-12-05 08:15:00 [INFO]  Batch 550
2025-12-05 08:15:00 [INFO]  -------------------
2025-12-05 08:15:20 [INFO]  -------------------
