2025-12-29 16:29:57 [INFO]  Executing: sp_GetCasesAsJson
2025-12-29 16:29:59 [INFO]  -------------------
2025-12-29 16:29:59 [INFO]  Batch 0
2025-12-29 16:29:59 [INFO]  -------------------
2025-12-29 16:30:09 [INFO]  -------------------
2025-12-29 16:30:09 [INFO]  Batch 50
2025-12-29 16:30:09 [INFO]  -------------------
2025-12-29 16:30:20 [INFO]  -------------------
2025-12-29 16:30:20 [INFO]  Batch 100
2025-12-29 16:30:20 [INFO]  -------------------
2025-12-29 16:30:30 [INFO]  -------------------
2025-12-29 16:30:30 [INFO]  Batch 150
2025-12-29 16:30:30 [INFO]  -------------------
2025-12-29 16:30:40 [INFO]  -------------------
2025-12-29 16:30:40 [INFO]  Batch 200
2025-12-29 16:30:40 [INFO]  -------------------
2025-12-29 16:30:50 [INFO]  -------------------
2025-12-29 16:30:50 [INFO]  Batch 250
2025-12-29 16:30:50 [INFO]  -------------------
2025-12-29 16:31:00 [INFO]  -------------------
2025-12-29 16:31:00 [INFO]  Batch 300
2025-12-29 16:31:00 [INFO]  -------------------
2025-12-29 16:31:11 [INFO]  -------------------
2025-12-29 16:31:11 [INFO]  Batch 350
2025-12-29 16:31:11 [INFO]  -------------------
2025-12-29 16:31:22 [INFO]  -------------------
2025-12-29 16:31:22 [INFO]  Batch 400
2025-12-29 16:31:22 [INFO]  -------------------
2025-12-29 16:31:32 [INFO]  -------------------
2025-12-29 16:31:32 [INFO]  Batch 450
2025-12-29 16:31:32 [INFO]  -------------------
2025-12-29 16:31:43 [INFO]  -------------------
2025-12-29 16:31:43 [INFO]  Batch 500
2025-12-29 16:31:43 [INFO]  -------------------
2025-12-29 16:31:53 [INFO]  -------------------
2025-12-29 16:31:53 [INFO]  Batch 550
2025-12-29 16:31:53 [INFO]  -------------------
2025-12-29 16:32:03 [INFO]  -------------------
2025-12-29 16:32:03 [INFO]  Batch 600
2025-12-29 16:32:03 [INFO]  -------------------
2025-12-29 16:32:14 [INFO]  -------------------
2025-12-29 16:32:14 [INFO]  Batch 650
2025-12-29 16:32:14 [INFO]  -------------------
2025-12-29 16:32:24 [INFO]  -------------------
2025-12-29 16:32:24 [INFO]  Batch 700
2025-12-29 16:32:24 [INFO]  -------------------
2025-12-29 16:32:34 [INFO]  -------------------
2025-12-29 16:32:34 [INFO]  Batch 750
2025-12-29 16:32:34 [INFO]  -------------------
2025-12-29 16:32:45 [INFO]  -------------------
2025-12-29 16:32:45 [INFO]  Batch 800
2025-12-29 16:32:45 [INFO]  -------------------
2025-12-29 16:32:55 [INFO]  -------------------
2025-12-29 16:32:55 [INFO]  Batch 850
2025-12-29 16:32:55 [INFO]  -------------------
2025-12-29 16:33:05 [INFO]  -------------------
2025-12-29 16:33:05 [INFO]  Batch 900
2025-12-29 16:33:05 [INFO]  -------------------
2025-12-29 16:33:15 [INFO]  -------------------
2025-12-29 16:33:15 [INFO]  Batch 950
2025-12-29 16:33:15 [INFO]  -------------------
2025-12-29 16:33:26 [INFO]  -------------------
2025-12-29 16:33:26 [INFO]  Batch 1000
2025-12-29 16:33:26 [INFO]  -------------------
2025-12-29 16:33:36 [INFO]  -------------------
2025-12-29 16:33:36 [INFO]  Batch 1050
2025-12-29 16:33:36 [INFO]  -------------------
2025-12-29 16:33:46 [INFO]  -------------------
2025-12-29 16:33:46 [INFO]  Batch 1100
2025-12-29 16:33:46 [INFO]  -------------------
2025-12-29 16:33:57 [INFO]  -------------------
2025-12-29 16:33:57 [INFO]  Batch 1150
2025-12-29 16:33:57 [INFO]  -------------------
2025-12-29 16:34:07 [INFO]  -------------------
2025-12-29 16:34:07 [INFO]  Batch 1200
2025-12-29 16:34:07 [INFO]  -------------------
2025-12-29 16:34:18 [INFO]  -------------------
2025-12-29 16:34:18 [INFO]  Batch 1250
2025-12-29 16:34:18 [INFO]  -------------------
2025-12-29 16:34:28 [INFO]  -------------------
2025-12-29 16:34:28 [INFO]  Batch 1300
2025-12-29 16:34:28 [INFO]  -------------------
2025-12-29 16:34:39 [INFO]  -------------------
2025-12-29 16:34:39 [INFO]  Batch 1350
2025-12-29 16:34:39 [INFO]  -------------------
2025-12-29 16:34:49 [INFO]  -------------------
2025-12-29 16:34:49 [INFO]  Batch 1400
2025-12-29 16:34:49 [INFO]  -------------------
2025-12-29 16:34:59 [INFO]  -------------------
2025-12-29 16:34:59 [INFO]  Batch 1450
2025-12-29 16:34:59 [INFO]  -------------------
2025-12-29 16:35:10 [INFO]  -------------------
2025-12-29 16:35:10 [INFO]  Batch 1500
2025-12-29 16:35:10 [INFO]  -------------------
2025-12-29 16:35:20 [INFO]  -------------------
2025-12-29 16:35:20 [INFO]  Batch 1550
2025-12-29 16:35:20 [INFO]  -------------------
2025-12-29 16:35:31 [INFO]  -------------------
2025-12-29 16:35:31 [INFO]  Batch 1600
2025-12-29 16:35:31 [INFO]  -------------------
2025-12-29 16:35:42 [INFO]  -------------------
2025-12-29 16:35:42 [INFO]  Batch 1650
2025-12-29 16:35:42 [INFO]  -------------------
2025-12-29 16:35:52 [INFO]  -------------------
2025-12-29 16:35:52 [INFO]  Batch 1700
2025-12-29 16:35:52 [INFO]  -------------------
2025-12-29 16:36:02 [INFO]  -------------------
2025-12-29 16:36:02 [INFO]  Batch 1750
2025-12-29 16:36:02 [INFO]  -------------------
2025-12-29 16:36:12 [INFO]  -------------------
2025-12-29 16:36:12 [INFO]  Batch 1800
2025-12-29 16:36:12 [INFO]  -------------------
2025-12-29 16:36:23 [INFO]  -------------------
2025-12-29 16:36:23 [INFO]  Batch 1850
2025-12-29 16:36:23 [INFO]  -------------------
2025-12-29 16:36:33 [INFO]  -------------------
2025-12-29 16:36:33 [INFO]  Batch 1900
2025-12-29 16:36:33 [INFO]  -------------------
2025-12-29 16:36:44 [INFO]  -------------------
2025-12-29 16:36:44 [INFO]  Batch 1950
2025-12-29 16:36:44 [INFO]  -------------------
2025-12-29 16:37:17 [INFO]  -------------------
2025-12-29 16:37:17 [INFO]  Batch 2000
2025-12-29 16:37:17 [INFO]  -------------------
2025-12-29 16:37:27 [INFO]  -------------------
2025-12-29 16:37:27 [INFO]  Batch 2050
2025-12-29 16:37:27 [INFO]  -------------------
2025-12-29 16:37:38 [INFO]  -------------------
2025-12-29 16:37:38 [INFO]  Batch 2100
2025-12-29 16:37:38 [INFO]  -------------------
2025-12-29 16:37:49 [INFO]  -------------------
2025-12-29 16:37:49 [INFO]  Batch 2150
2025-12-29 16:37:49 [INFO]  -------------------
2025-12-29 16:37:59 [INFO]  -------------------
2025-12-29 16:37:59 [INFO]  Batch 2200
2025-12-29 16:37:59 [INFO]  -------------------
2025-12-29 16:38:10 [INFO]  -------------------
2025-12-29 16:38:10 [INFO]  Batch 2250
2025-12-29 16:38:10 [INFO]  -------------------
2025-12-29 16:38:20 [INFO]  -------------------
2025-12-29 16:38:20 [INFO]  Batch 2300
2025-12-29 16:38:20 [INFO]  -------------------
2025-12-29 16:38:31 [INFO]  -------------------
2025-12-29 16:38:31 [INFO]  Batch 2350
2025-12-29 16:38:31 [INFO]  -------------------
2025-12-29 16:38:42 [INFO]  -------------------
2025-12-29 16:38:42 [INFO]  Batch 2400
2025-12-29 16:38:42 [INFO]  -------------------
2025-12-29 16:38:52 [INFO]  -------------------
2025-12-29 16:38:52 [INFO]  Batch 2450
2025-12-29 16:38:52 [INFO]  -------------------
2025-12-29 16:39:03 [INFO]  -------------------
2025-12-29 16:39:03 [INFO]  Batch 2500
2025-12-29 16:39:03 [INFO]  -------------------
2025-12-29 16:39:13 [INFO]  -------------------
2025-12-29 16:39:13 [INFO]  Batch 2550
2025-12-29 16:39:13 [INFO]  -------------------
2025-12-29 16:39:24 [INFO]  -------------------
2025-12-29 16:39:24 [INFO]  Batch 2600
2025-12-29 16:39:24 [INFO]  -------------------
2025-12-29 16:39:35 [INFO]  -------------------
2025-12-29 16:39:35 [INFO]  Batch 2650
2025-12-29 16:39:35 [INFO]  -------------------
2025-12-29 16:39:45 [INFO]  -------------------
2025-12-29 16:39:45 [INFO]  Batch 2700
2025-12-29 16:39:45 [INFO]  -------------------
2025-12-29 16:39:55 [INFO]  -------------------
2025-12-29 16:39:55 [INFO]  Batch 2750
2025-12-29 16:39:55 [INFO]  -------------------
2025-12-29 16:40:06 [INFO]  -------------------
2025-12-29 16:40:06 [INFO]  Batch 2800
