2025-12-05 08:12:07 [INFO]  Executing: sp_Arrest_Warrants_Mapped
2025-12-05 08:12:09 [INFO]  -------------------
2025-12-05 08:12:09 [INFO]  Warrants Logs
2025-12-05 08:12:09 [INFO]  Batch 0
2025-12-05 08:12:09 [INFO]  -------------------
2025-12-05 08:13:10 [INFO]  -------------------
2025-12-05 08:13:10 [INFO]  Warrants Logs
2025-12-05 08:13:10 [INFO]  Batch 100
2025-12-05 08:13:10 [INFO]  -------------------
2025-12-05 08:14:32 [INFO]  -------------------
2025-12-05 08:14:32 [INFO]  Warrants Logs
2025-12-05 08:14:32 [INFO]  Batch 200
2025-12-05 08:14:32 [INFO]  -------------------
2025-12-05 08:15:46 [INFO]  -------------------
2025-12-05 08:15:46 [INFO]  Warrants Logs
2025-12-05 08:15:46 [INFO]  Batch 300
2025-12-05 08:15:46 [INFO]  -------------------
2025-12-05 08:16:53 [INFO]  -------------------
2025-12-05 08:16:53 [INFO]  Warrants Logs
2025-12-05 08:16:53 [INFO]  Batch 400
2025-12-05 08:16:53 [INFO]  -------------------
2025-12-05 08:18:01 [INFO]  -------------------
2025-12-05 08:18:01 [INFO]  Warrants Logs
2025-12-05 08:18:01 [INFO]  Batch 500
2025-12-05 08:18:01 [INFO]  -------------------
2025-12-05 08:19:16 [INFO]  -------------------
2025-12-05 08:19:16 [INFO]  Warrants Logs
2025-12-05 08:19:16 [INFO]  Batch 600
2025-12-05 08:19:16 [INFO]  -------------------
2025-12-05 08:20:52 [INFO]  -------------------
2025-12-05 08:20:52 [INFO]  Warrants Logs
2025-12-05 08:20:52 [INFO]  Batch 700
2025-12-05 08:20:52 [INFO]  -------------------
2025-12-05 08:22:05 [INFO]  -------------------
2025-12-05 08:22:05 [INFO]  Warrants Logs
2025-12-05 08:22:05 [INFO]  Batch 800
2025-12-05 08:22:05 [INFO]  -------------------
2025-12-05 08:23:06 [INFO]  -------------------
2025-12-05 08:23:06 [INFO]  Warrants Logs
2025-12-05 08:23:06 [INFO]  Batch 900
2025-12-05 08:23:06 [INFO]  -------------------
2025-12-05 08:24:00 [INFO]  -------------------
2025-12-05 08:24:00 [INFO]  Warrants Logs
2025-12-05 08:24:00 [INFO]  Batch 1000
2025-12-05 08:24:00 [INFO]  -------------------
2025-12-05 08:24:55 [INFO]  -------------------
2025-12-05 08:24:55 [INFO]  Warrants Logs
2025-12-05 08:24:55 [INFO]  Batch 1100
2025-12-05 08:24:55 [INFO]  -------------------
2025-12-05 08:25:52 [INFO]  -------------------
2025-12-05 08:25:52 [INFO]  Warrants Logs
2025-12-05 08:25:52 [INFO]  Batch 1200
2025-12-05 08:25:52 [INFO]  -------------------
2025-12-05 08:26:49 [INFO]  -------------------
2025-12-05 08:26:49 [INFO]  Warrants Logs
2025-12-05 08:26:49 [INFO]  Batch 1300
2025-12-05 08:26:49 [INFO]  -------------------
2025-12-05 08:27:55 [INFO]  -------------------
2025-12-05 08:27:55 [INFO]  Warrants Logs
2025-12-05 08:27:55 [INFO]  Batch 1400
2025-12-05 08:27:55 [INFO]  -------------------
2025-12-05 08:28:49 [INFO]  -------------------
2025-12-05 08:28:49 [INFO]  Warrants Logs
2025-12-05 08:28:49 [INFO]  Batch 1500
2025-12-05 08:28:49 [INFO]  -------------------
2025-12-05 08:29:45 [INFO]  -------------------
2025-12-05 08:29:45 [INFO]  Warrants Logs
2025-12-05 08:29:45 [INFO]  Batch 1600
