2025-10-07 08:23:11 - -------------------
2025-10-07 08:23:11 - Warrants Logs
2025-10-07 08:23:11 - Batch 0
2025-10-07 08:23:11 - -------------------
2025-10-07 08:23:11 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012A3620400001: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:12 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012A3620400002: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:12 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012A3620400003: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:13 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012A3620400004: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:13 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012A3620400005: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:13 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012A3620400006: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:14 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012A3620400007: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:14 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012A3620400008: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:14 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012A3620400009: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:15 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012A3620400010: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:15 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012A3620400011: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:16 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012A3620400012: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:16 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012A3620400013: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:16 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012A3620400014: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:17 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012A3620400015: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
2025-10-07 08:23:17 - Insertion failed for Warrant Number Unknown: InternalServerError - 2012A3620400016: InternalServerError - '<' is an invalid start of a value. Path: $ | LineNumber: 0 | BytePositionInLine: 0.
